"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2020","2020","Oklahoma","40",3959,3980783,99.5,96.4,102.6,82.6,80.0,85.2
,"Other bacterial diseases","A30-A49","2020","2020","Oregon","41",1936,4241507,45.6,43.6,47.7,35.0,33.4,36.6
,"Other bacterial diseases","A30-A49","2020","2020","Pennsylvania","42",10070,12783254,78.8,77.2,80.3,55.3,54.2,56.5
,"Other bacterial diseases","A30-A49","2020","2020","Rhode Island","44",662,1057125,62.6,57.9,67.4,45.3,41.8,49.1
,"Other bacterial diseases","A30-A49","2020","2020","South Carolina","45",5336,5218040,102.3,99.5,105.0,78.3,76.2,80.5
,"Other bacterial diseases","A30-A49","2020","2020","South Dakota","46",724,892717,81.1,75.2,87.0,64.2,59.5,69.3
,"Other bacterial diseases","A30-A49","2020","2020","Tennessee","47",6319,6886834,91.8,89.5,94.0,73.8,72.0,75.7
,"Other bacterial diseases","A30-A49","2020","2020","Texas","48",21752,29360759,74.1,73.1,75.1,73.5,72.5,74.4
,"Other bacterial diseases","A30-A49","2020","2020","Utah","49",1391,3249879,42.8,40.6,45.1,48.6,46.0,51.2
,"Other bacterial diseases","A30-A49","2020","2020","Vermont","50",326,623347,52.3,46.6,58.0,35.9,32.0,40.2
,"Other bacterial diseases","A30-A49","2020","2020","Virginia","51",4955,8590563,57.7,56.1,59.3,47.6,46.3,49.0
,"Other bacterial diseases","A30-A49","2020","2020","Washington","53",4523,7693612,58.8,57.1,60.5,50.0,48.5,51.5
,"Other bacterial diseases","A30-A49","2020","2020","West Virginia","54",2154,1784787,120.7,115.6,125.8,84.7,81.1,88.6
,"Other bacterial diseases","A30-A49","2020","2020","Wisconsin","55",3627,5832655,62.2,60.2,64.2,47.1,45.5,48.7
,"Other bacterial diseases","A30-A49","2020","2020","Wyoming","56",346,582328,59.4,53.2,65.7,47.0,42.1,52.5
"Total","Other bacterial diseases","A30-A49","2020","2020",,,242155,329484123,73.5,73.2,73.8,58.9,58.6,59.1
