"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Mar., 2024","2024/03",1382,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Apr., 2024","2024/04",726,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","May, 2024","2024/05",534,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Jun., 2024","2024/06",610,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Jul., 2024","2024/07",1160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Aug., 2024","2024/08",1798,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Sep., 2024","2024/09",1730,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Oct., 2024","2024/10",1174,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Nov., 2024","2024/11",763,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024","Dec., 2024","2024/12",961,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Provisional assignment of new diseases of uncertain etiology","U00-U49","2024","2024",,,16317,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Jan., 2025 (provisional)","2025/01",1515,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Feb., 2025 (provisional)","2025/02",1066,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Mar., 2025 (provisional)","2025/03",814,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Apr., 2025 (provisional)","2025/04",578,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","May., 2025 (provisional)","2025/05",361,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Jun., 2025 (provisional)","2025/06",274,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Jul., 2025 (provisional)","2025/07",312,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Aug., 2025 (provisional)","2025/08",495,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Sep., 2025 (provisional)","2025/09",695,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Oct., 2025 (provisional)","2025/10",488,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Nov., 2025 (provisional)","2025/11",292,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025","Dec., 2025 (provisional)","2025/12",425,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Provisional assignment of new diseases of uncertain etiology","U00-U49","2025 (provisional)","2025",,,7315,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Provisional assignment of new diseases of uncertain etiology","U00-U49",,,,,559785,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total",,,,,,,1135529,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: U07.1 (COVID-19)"
"MCD - ICD-10 Codes: AND"
"MCD - ICD-10 Codes: J12.0 (Adenoviral pneumonia); J12.1 (Respiratory syncytial virus pneumonia); J12.2 (Parainfluenza virus"
"pneumonia); J12.3 (Human metapneumovirus pneumonia); J12.8 (Other viral pneumonia); J12.9 (Viral pneumonia, unspecified); J13"
"(Pneumonia due to Streptococcus pneumoniae); J14 (Pneumonia due to Haemophilus influenzae); J15.0 (Pneumonia due to Klebsiella"
"pneumoniae); J15.1 (Pneumonia due to Pseudomonas); J15.2 (Pneumonia due to staphylococcus); J15.3 (Pneumonia due to"
"streptococcus, group B); J15.4 (Pneumonia due to other streptococci); J15.5 (Pneumonia due to Escherichia coli); J15.6"
"(Pneumonia due to other aerobic Gram-negative bacteria); J15.7 (Pneumonia due to Mycoplasma pneumoniae); J15.8 (Other bacterial"
"pneumonia); J15.9 (Bacterial pneumonia, unspecified); J16.0 (Chlamydial pneumonia); J16.8 (Pneumonia due to other specified"
"infectious organisms); J18.0 (Bronchopneumonia, unspecified); J18.1 (Lobar pneumonia, unspecified); J18.2 (Hypostatic pneumonia,"
"unspecified); J18.8 (Other pneumonia, organism unspecified); J18.9 (Pneumonia, unspecified)"
"Year/Month: 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025 (provisional)"
"Group By: MCD - ICD Sub-Chapter; Year; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Apr 10, 2026 4:23:21 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Apr 10, 2026"
"4:23:21 PM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. These items in the results table are not fully selected: Influenza and pneumonia, Provisional assignment of new diseases of"
"uncertain etiology. The Query Description lists the actual values selected."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"4. The method used to calculate 95% confidence intervals is documented here: More information:"
