"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2014","2014","Arkansas","05",2266,2966369,76.4,64.9
,"Other bacterial diseases","A30-A49","2014","2014","California","06",19220,38802500,49.5,47.4
,"Other bacterial diseases","A30-A49","2014","2014","Colorado","08",1920,5355866,35.8,35.9
,"Other bacterial diseases","A30-A49","2014","2014","Connecticut","09",2309,3596677,64.2,50.2
,"Other bacterial diseases","A30-A49","2014","2014","Delaware","10",617,935614,65.9,54.1
,"Other bacterial diseases","A30-A49","2014","2014","District of Columbia","11",375,658893,56.9,61.1
,"Other bacterial diseases","A30-A49","2014","2014","Florida","12",10774,19893297,54.2,38.3
,"Other bacterial diseases","A30-A49","2014","2014","Georgia","13",5557,10097343,55.0,56.8
,"Other bacterial diseases","A30-A49","2014","2014","Hawaii","15",523,1419561,36.8,28.5
,"Other bacterial diseases","A30-A49","2014","2014","Idaho","16",608,1634464,37.2,34.8
,"Other bacterial diseases","A30-A49","2014","2014","Illinois","17",7375,12880580,57.3,50.7
,"Other bacterial diseases","A30-A49","2014","2014","Indiana","18",4095,6596855,62.1,54.9
,"Other bacterial diseases","A30-A49","2014","2014","Iowa","19",1548,3107126,49.8,38.4
,"Other bacterial diseases","A30-A49","2014","2014","Kansas","20",1449,2904021,49.9,42.9
,"Other bacterial diseases","A30-A49","2014","2014","Kentucky","21",3382,4413457,76.6,67.3
,"Other bacterial diseases","A30-A49","2014","2014","Louisiana","22",3146,4649676,67.7,63.6
,"Other bacterial diseases","A30-A49","2014","2014","Maine","23",720,1330089,54.1,38.7
,"Other bacterial diseases","A30-A49","2014","2014","Maryland","24",3253,5976407,54.4,49.3
,"Other bacterial diseases","A30-A49","2014","2014","Massachusetts","25",3916,6745408,58.1,47.1
,"Other bacterial diseases","A30-A49","2014","2014","Michigan","26",6038,9909877,60.9,50.0
,"Other bacterial diseases","A30-A49","2014","2014","Minnesota","27",1886,5457173,34.6,29.8
,"Other bacterial diseases","A30-A49","2014","2014","Mississippi","28",2531,2994079,84.5,76.8
,"Other bacterial diseases","A30-A49","2014","2014","Missouri","29",3595,6063589,59.3,49.2
,"Other bacterial diseases","A30-A49","2014","2014","Montana","30",441,1023579,43.1,34.1
,"Other bacterial diseases","A30-A49","2014","2014","Nebraska","31",824,1881503,43.8,37.5
,"Other bacterial diseases","A30-A49","2014","2014","Nevada","32",1574,2839099,55.4,52.7
,"Other bacterial diseases","A30-A49","2014","2014","New Hampshire","33",647,1326813,48.8,38.9
,"Other bacterial diseases","A30-A49","2014","2014","New Jersey","34",6463,8938175,72.3,60.2
,"Other bacterial diseases","A30-A49","2014","2014","New Mexico","35",1166,2085572,55.9,49.4
,"Other bacterial diseases","A30-A49","2014","2014","New York","36",11638,19746227,58.9,49.2
,"Other bacterial diseases","A30-A49","2014","2014","North Carolina","37",6385,9943964,64.2,57.3
,"Other bacterial diseases","A30-A49","2014","2014","North Dakota","38",360,739482,48.7,41.7
,"Other bacterial diseases","A30-A49","2014","2014","Ohio","39",7095,11594163,61.2,49.9
,"Other bacterial diseases","A30-A49","2014","2014","Oklahoma","40",2604,3878051,67.1,60.1
,"Other bacterial diseases","A30-A49","2014","2014","Oregon","41",1690,3970239,42.6,34.7
,"Other bacterial diseases","A30-A49","2014","2014","Pennsylvania","42",8412,12787209,65.8,49.0
,"Other bacterial diseases","A30-A49","2014","2014","Rhode Island","44",665,1055173,63.0,48.7
,"Other bacterial diseases","A30-A49","2014","2014","South Carolina","45",3502,4832482,72.5,62.7
