"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Influenza and pneumonia","J09-J18","2016","2016","1-4 years","1-4",35,15956892,0.2
,"Influenza and pneumonia","J09-J18","2016","2016","5-14 years","5-14",33,41048032,0.1
,"Influenza and pneumonia","J09-J18","2016","2016","15-24 years","15-24",155,43511027,0.4
,"Influenza and pneumonia","J09-J18","2016","2016","25-34 years","25-34",415,44677243,0.9
,"Influenza and pneumonia","J09-J18","2016","2016","35-44 years","35-44",920,40470156,2.3
,"Influenza and pneumonia","J09-J18","2016","2016","45-54 years","45-54",2555,42786679,6.0
,"Influenza and pneumonia","J09-J18","2016","2016","55-64 years","55-64",6554,41463144,15.8
,"Influenza and pneumonia","J09-J18","2016","2016","65-74 years","65-74",9504,28630330,33.2
,"Influenza and pneumonia","J09-J18","2016","2016","75-84 years","75-84",11638,14233534,81.8
,"Influenza and pneumonia","J09-J18","2016","2016","85+ years","85+",13186,6380331,206.7
,"Influenza and pneumonia","J09-J18","2017","2017","< 1 year","1",41,3939295,1.0
,"Influenza and pneumonia","J09-J18","2017","2017","1-4 years","1-4",32,15999565,0.2
,"Influenza and pneumonia","J09-J18","2017","2017","5-14 years","5-14",44,41082692,0.1
,"Influenza and pneumonia","J09-J18","2017","2017","15-24 years","15-24",135,43250295,0.3
,"Influenza and pneumonia","J09-J18","2017","2017","25-34 years","25-34",408,45342672,0.9
,"Influenza and pneumonia","J09-J18","2017","2017","35-44 years","35-44",906,40875370,2.2
,"Influenza and pneumonia","J09-J18","2017","2017","45-54 years","45-54",2479,42374952,5.9
,"Influenza and pneumonia","J09-J18","2017","2017","55-64 years","55-64",6521,41995658,15.5
,"Influenza and pneumonia","J09-J18","2017","2017","65-74 years","65-74",9930,29683446,33.5
,"Influenza and pneumonia","J09-J18","2017","2017","75-84 years","75-84",12168,14706551,82.7
,"Influenza and pneumonia","J09-J18","2017","2017","85+ years","85+",13966,6468682,215.9
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: J12.0 (Adenoviral pneumonia); J12.1 (Respiratory syncytial virus pneumonia); J12.2 (Parainfluenza virus"
"pneumonia); J12.3 (Human metapneumovirus pneumonia); J12.8 (Other viral pneumonia); J12.9 (Viral pneumonia, unspecified); J13"
"(Pneumonia due to Streptococcus pneumoniae); J14 (Pneumonia due to Haemophilus influenzae); J15.0 (Pneumonia due to Klebsiella"
"pneumoniae); J15.1 (Pneumonia due to Pseudomonas); J15.2 (Pneumonia due to staphylococcus); J15.3 (Pneumonia due to"
"streptococcus, group B); J15.4 (Pneumonia due to other streptococci); J15.5 (Pneumonia due to Escherichia coli); J15.6"
