"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2020","2020","Delaware","10",851,986809,86.2,80.4,92.0,61.7,57.5,66.1
,"Influenza and pneumonia","J09-J18","2020","2020","District of Columbia","11",954,712816,133.8,125.3,142.3,134.2,125.7,143.2
,"Influenza and pneumonia","J09-J18","2020","2020","Florida","12",21254,21733312,97.8,96.5,99.1,62.9,62.0,63.7
,"Influenza and pneumonia","J09-J18","2020","2020","Georgia","13",8666,10710017,80.9,79.2,82.6,75.0,73.4,76.6
,"Influenza and pneumonia","J09-J18","2020","2020","Hawaii","15",754,1407006,53.6,49.8,57.4,35.6,33.0,38.4
,"Influenza and pneumonia","J09-J18","2020","2020","Idaho","16",1068,1826913,58.5,55.0,62.0,50.2,47.2,53.4
,"Influenza and pneumonia","J09-J18","2020","2020","Illinois","17",13203,12587530,104.9,103.1,106.7,83.5,82.1,85.0
,"Influenza and pneumonia","J09-J18","2020","2020","Indiana","18",7408,6754953,109.7,107.2,112.2,90.0,87.9,92.1
,"Influenza and pneumonia","J09-J18","2020","2020","Iowa","19",2880,3163561,91.0,87.7,94.4,66.5,64.0,69.0
,"Influenza and pneumonia","J09-J18","2020","2020","Kansas","20",2697,2913805,92.6,89.1,96.1,72.8,70.0,75.6
,"Influenza and pneumonia","J09-J18","2020","2020","Kentucky","21",4969,4477251,111.0,107.9,114.1,89.8,87.3,92.4
,"Influenza and pneumonia","J09-J18","2020","2020","Louisiana","22",5200,4645318,111.9,108.9,115.0,93.6,91.0,96.2
,"Influenza and pneumonia","J09-J18","2020","2020","Maine","23",866,1350141,64.1,59.9,68.4,41.9,39.1,44.9
,"Influenza and pneumonia","J09-J18","2020","2020","Maryland","24",5231,6055802,86.4,84.0,88.7,70.4,68.5,72.4
,"Influenza and pneumonia","J09-J18","2020","2020","Massachusetts","25",6720,6893574,97.5,95.2,99.8,72.6,70.9,74.4
,"Influenza and pneumonia","J09-J18","2020","2020","Michigan","26",10514,9966555,105.5,103.5,107.5,79.6,78.0,81.1
,"Influenza and pneumonia","J09-J18","2020","2020","Minnesota","27",4006,5657342,70.8,68.6,73.0,56.0,54.3,57.8
,"Influenza and pneumonia","J09-J18","2020","2020","Mississippi","28",4483,2966786,151.1,146.7,155.5,124.1,120.4,127.8
,"Influenza and pneumonia","J09-J18","2020","2020","Missouri","29",5807,6151548,94.4,92.0,96.8,71.5,69.7,73.4
,"Influenza and pneumonia","J09-J18","2020","2020","Montana","30",928,1080577,85.9,80.4,91.4,62.7,58.6,67.0
,"Influenza and pneumonia","J09-J18","2020","2020","Nebraska","31",1683,1937552,86.9,82.7,91.0,69.8,66.4,73.3
,"Influenza and pneumonia","J09-J18","2020","2020","Nevada","32",3784,3138259,120.6,116.7,124.4,103.0,99.7,106.4
,"Influenza and pneumonia","J09-J18","2020","2020","New Hampshire","33",708,1366275,51.8,48.0,55.6,37.4,34.6,40.4
,"Influenza and pneumonia","J09-J18","2020","2020","New Jersey","34",12234,8882371,137.7,135.3,140.2,105.2,103.4,107.2
,"Influenza and pneumonia","J09-J18","2020","2020","New Mexico","35",2464,2106319,117.0,112.4,121.6,93.0,89.3,96.9
,"Influenza and pneumonia","J09-J18","2020","2020","New York","36",26136,19336776,135.2,133.5,136.8,101.0,99.8,102.3
