"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","15-24 years","15-24",13,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","25-34 years","25-34",46,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","35-44 years","35-44",65,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","45-54 years","45-54",196,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","55-64 years","55-64",374,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","65-74 years","65-74",571,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","75-84 years","75-84",802,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04","85+ years","85+",892,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","25-34 years","25-34",19,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","35-44 years","35-44",47,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","45-54 years","45-54",211,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","55-64 years","55-64",422,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","65-74 years","65-74",503,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","75-84 years","75-84",805,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05","85+ years","85+",826,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","25-34 years","25-34",30,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","35-44 years","35-44",48,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","45-54 years","45-54",165,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","55-64 years","55-64",384,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","65-74 years","65-74",470,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","75-84 years","75-84",760,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","85+ years","85+",751,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","15-24 years","15-24",10,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","25-34 years","25-34",30,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","35-44 years","35-44",51,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","45-54 years","45-54",181,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","55-64 years","55-64",341,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","65-74 years","65-74",488,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","75-84 years","75-84",718,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07","85+ years","85+",742,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
