"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2015","2015","Alaska","02",41,738432,5.6,8.0
,"Other bacterial diseases","A30-A49","2015","2015","Arizona","04",775,6828065,11.4,9.4
,"Other bacterial diseases","A30-A49","2015","2015","Arkansas","05",547,2978204,18.4,15.3
,"Other bacterial diseases","A30-A49","2015","2015","California","06",5734,39144818,14.6,13.8
,"Other bacterial diseases","A30-A49","2015","2015","Colorado","08",377,5456574,6.9,6.9
,"Other bacterial diseases","A30-A49","2015","2015","Connecticut","09",450,3590886,12.5,9.6
,"Other bacterial diseases","A30-A49","2015","2015","Delaware","10",179,945934,18.9,15.0
,"Other bacterial diseases","A30-A49","2015","2015","District of Columbia","11",105,672228,15.6,16.7
,"Other bacterial diseases","A30-A49","2015","2015","Florida","12",2539,20271272,12.5,8.6
,"Other bacterial diseases","A30-A49","2015","2015","Georgia","13",1229,10214860,12.0,12.4
,"Other bacterial diseases","A30-A49","2015","2015","Hawaii","15",118,1431603,8.2,6.2
,"Other bacterial diseases","A30-A49","2015","2015","Idaho","16",135,1654930,8.2,7.4
,"Other bacterial diseases","A30-A49","2015","2015","Illinois","17",1702,12859995,13.2,11.5
,"Other bacterial diseases","A30-A49","2015","2015","Indiana","18",955,6619680,14.4,12.5
,"Other bacterial diseases","A30-A49","2015","2015","Iowa","19",376,3123899,12.0,9.2
,"Other bacterial diseases","A30-A49","2015","2015","Kansas","20",389,2911641,13.4,11.2
,"Other bacterial diseases","A30-A49","2015","2015","Kentucky","21",948,4425092,21.4,18.6
,"Other bacterial diseases","A30-A49","2015","2015","Louisiana","22",580,4670724,12.4,11.5
,"Other bacterial diseases","A30-A49","2015","2015","Maine","23",163,1329328,12.3,8.6
,"Other bacterial diseases","A30-A49","2015","2015","Maryland","24",653,6006401,10.9,9.7
,"Other bacterial diseases","A30-A49","2015","2015","Massachusetts","25",978,6794422,14.4,11.5
,"Other bacterial diseases","A30-A49","2015","2015","Michigan","26",1356,9922576,13.7,11.0
,"Other bacterial diseases","A30-A49","2015","2015","Minnesota","27",452,5489594,8.2,6.9
,"Other bacterial diseases","A30-A49","2015","2015","Mississippi","28",629,2992333,21.0,18.7
,"Other bacterial diseases","A30-A49","2015","2015","Missouri","29",786,6083672,12.9,10.5
,"Other bacterial diseases","A30-A49","2015","2015","Montana","30",98,1032949,9.5,7.8
,"Other bacterial diseases","A30-A49","2015","2015","Nebraska","31",196,1896190,10.3,8.9
,"Other bacterial diseases","A30-A49","2015","2015","Nevada","32",549,2890845,19.0,17.9
,"Other bacterial diseases","A30-A49","2015","2015","New Hampshire","33",151,1330608,11.3,9.0
,"Other bacterial diseases","A30-A49","2015","2015","New Jersey","34",1154,8958013,12.9,10.5
,"Other bacterial diseases","A30-A49","2015","2015","New Mexico","35",301,2085109,14.4,12.6
,"Other bacterial diseases","A30-A49","2015","2015","New York","36",3301,19795791,16.7,13.7
,"Other bacterial diseases","A30-A49","2015","2015","North Carolina","37",1660,10042802,16.5,14.6
,"Other bacterial diseases","A30-A49","2015","2015","North Dakota","38",65,756927,8.6,7.5
,"Other bacterial diseases","A30-A49","2015","2015","Ohio","39",1520,11613423,13.1,10.6
,"Other bacterial diseases","A30-A49","2015","2015","Oklahoma","40",731,3911338,18.7,16.6
,"Other bacterial diseases","A30-A49","2015","2015","Oregon","41",374,4028977,9.3,7.5
,"Other bacterial diseases","A30-A49","2015","2015","Pennsylvania","42",1684,12802503,13.2,9.7
