"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Influenza and pneumonia","J09-J18","2016","2016","Apr., 2016","2016/04",3896,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","May, 2016","2016/05",3628,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Jun., 2016","2016/06",3206,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Jul., 2016","2016/07",3239,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Aug., 2016","2016/08",3194,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Sep., 2016","2016/09",3310,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Oct., 2016","2016/10",3466,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Nov., 2016","2016/11",3491,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Dec., 2016","2016/12",4254,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Jan., 2017","2017/01",4940,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Feb., 2017","2017/02",4320,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Mar., 2017","2017/03",4562,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Apr., 2017","2017/04",3957,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","May, 2017","2017/05",3552,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Jun., 2017","2017/06",3465,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Jul., 2017","2017/07",3309,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Aug., 2017","2017/08",3268,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Sep., 2017","2017/09",3274,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Oct., 2017","2017/10",3659,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Nov., 2017","2017/11",3635,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Dec., 2017","2017/12",4690,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"MCD - ICD-10 Codes: AND"
