"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","45-54 years","45-54",210,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","55-64 years","55-64",570,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","65-74 years","65-74",916,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","75-84 years","75-84",1101,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Feb., 2019","2019/02","85+ years","85+",1152,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","15-24 years","15-24",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","25-34 years","25-34",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","35-44 years","35-44",92,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","45-54 years","45-54",227,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","55-64 years","55-64",586,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","65-74 years","65-74",957,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","75-84 years","75-84",1171,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Mar., 2019","2019/03","85+ years","85+",1375,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","25-34 years","25-34",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","35-44 years","35-44",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","45-54 years","45-54",191,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","55-64 years","55-64",573,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","65-74 years","65-74",874,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","75-84 years","75-84",1042,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","Apr., 2019","2019/04","85+ years","85+",1096,Not Applicable,Not Applicable,Not Applicable,Not Applicable
