Disease,Model,Model Label,Projection Plausible,Minimum Projected AAMR,2025 Mean Predicted AAMR,2025/2019 Predicted Ratio,MAE,RMSE,MAPE (%),R-squared
Combined,log_anchored_quadratic_fourier_70,"Log-quadratic trend + Fourier seasonality, anchored 70% to recent seasonal mean",True,0.7,0.8666666666666667,0.9454545454545453,0.05833333333333332,0.09128709291752767,5.673400673400672,0.6872964169381109
Combined,anchored_quadratic_fourier_40,"Quadratic trend + Fourier seasonality, anchored 40% to recent seasonal mean",True,0.6,0.7833333333333333,0.8545454545454544,0.049999999999999996,0.09128709291752768,4.8463804713804715,0.6872964169381108
Combined,log_anchored_quadratic_fourier_30,"Log-quadratic trend + Fourier seasonality, anchored 30% to recent seasonal mean",True,0.7,0.7999999999999999,0.8727272727272725,0.049999999999999996,0.09128709291752768,4.8463804713804715,0.6872964169381108
Combined,log_anchored_quadratic_fourier_20,"Log-quadratic trend + Fourier seasonality, anchored 20% to recent seasonal mean",True,0.6,0.7583333333333333,0.827272727272727,0.05416666666666666,0.09354143466934853,5.309343434343434,0.6716612377850164
Combined,anchored_quadratic_fourier_70,"Quadratic trend + Fourier seasonality, anchored 70% to recent seasonal mean",True,0.7,0.8666666666666667,0.9454545454545453,0.05416666666666667,0.09354143466934854,5.155723905723906,0.6716612377850163
Combined,anchored_quadratic_fourier_20,"Quadratic trend + Fourier seasonality, anchored 20% to recent seasonal mean",False,0.6,0.7333333333333334,0.7999999999999999,0.05833333333333333,0.09574271077563382,5.830176767676767,0.6560260586319219
Combined,anchored_quadratic_fourier_30,"Quadratic trend + Fourier seasonality, anchored 30% to recent seasonal mean",True,0.6,0.7583333333333333,0.827272727272727,0.05833333333333333,0.09574271077563382,5.830176767676767,0.6560260586319219
Combined,log_anchored_quadratic_fourier_40,"Log-quadratic trend + Fourier seasonality, anchored 40% to recent seasonal mean",True,0.7,0.8166666666666668,0.8909090909090909,0.05416666666666667,0.0978945010372561,5.22516835016835,0.6403908794788273
Combined,quadratic_fourier,Quadratic trend + Fourier seasonality,False,0.5,0.6749999999999999,0.7363636363636361,0.06666666666666667,0.09999999999999999,6.871843434343434,0.6247557003257329
Combined,anchored_quadratic_fourier_50,"Quadratic trend + Fourier seasonality, anchored 50% to recent seasonal mean",True,0.7,0.8250000000000001,0.8999999999999999,0.05833333333333333,0.1,5.572390572390573,0.6247557003257329
