Outcome,Period,State,State Code,Deaths,Population,"Crude rate (/100,000)","AAMR (/100,000)"
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),New York,36.0,1631.0,196197163.0,0.831306617823011,0.7003308686986468
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),North Carolina,37.0,1213.0,100070694.0,1.2121430875656762,1.078640665767742
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),North Dakota,38.0,81.0,7311437.0,1.1078533535883577,0.3227019120865023
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Ohio,39.0,1297.0,116055598.0,1.117567805733938,0.9498611277674
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Oklahoma,40.0,466.0,38752111.0,1.2025151352399872,1.078086293157036
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Oregon,41.0,463.0,40176258.0,1.1524219104725981,0.941557956940639
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Pennsylvania,42.0,1506.0,127771127.0,1.1786700449155465,0.9501956439657919
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Rhode Island,44.0,91.0,10549884.0,0.8625687258741424,0.060248681407302676
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),South Carolina,45.0,707.0,48750113.0,1.4502530486442153,1.2720049510449338
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),South Dakota,46.0,48.0,8530151.0,0.5627098512089646,0.1037096529709732
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Tennessee,47.0,1027.0,65817692.0,1.5603707282838175,1.3673250499273053
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Texas,48.0,2964.0,271618628.0,1.0912359074282636,1.1216323127145755
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Utah,49.0,340.0,29796200.0,1.141085104812023,1.3888183325390484
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Vermont,50.0,0.0,6255956.0,0.0,0.0
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Virginia,51.0,670.0,83188214.0,0.8054025537800342,0.7210231920593944
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Washington,53.0,971.0,71499104.0,1.3580589765152862,1.2190248845635885
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),West Virginia,54.0,358.0,18357467.0,1.950160117406176,1.4999243141768959
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Wisconsin,55.0,568.0,57606958.0,0.9859920046463831,0.820574294167729
ARDS (ARDS + Pneumonia),Pre-pandemic (2010-2019),Wyoming,56.0,11.0,5782426.0,0.1902315740832654,0.0
Pneumonia,Pandemic (2020-2023),Alabama,1.0,17462.0,20144173.0,86.68511732896654,68.70625211072206
Pneumonia,Pandemic (2020-2023),Alaska,2.0,1501.0,2930820.0,51.21433591964024,54.22103865129894
Pneumonia,Pandemic (2020-2023),Arizona,4.0,28056.0,29488258.0,95.14295486698468,73.89629568148787
Pneumonia,Pandemic (2020-2023),Arkansas,5.0,12508.0,12169782.0,102.77916235475705,81.83054114691619
Pneumonia,Pandemic (2020-2023),California,6.0,119149.0,156600449.0,76.08471160896863,65.56746487170034
Pneumonia,Pandemic (2020-2023),Colorado,8.0,13233.0,23337324.0,56.70315928252956,52.32509169431764
Pneumonia,Pandemic (2020-2023),Connecticut,9.0,9948.0,14405984.0,69.05463729516845,49.72452527366406
Pneumonia,Pandemic (2020-2023),Delaware,10.0,3218.0,4040479.0,79.64402240427435,57.460449738756225
Pneumonia,Pandemic (2020-2023),District of Columbia,11.0,2158.0,2733641.0,78.9423336860985,78.8695097856668
Pneumonia,Pandemic (2020-2023),Florida,12.0,87030.0,88369989.0,98.48366055584775,65.18087278929049
