Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2013,2013,Kentucky,21.0,62,4395295.0,1.4,1.1,1.8,1.2,0.9,1.6
,Influenza and pneumonia,J09-J18,2013,2013,Louisiana,22.0,58,4625470.0,1.3,1.0,1.6,1.2,0.9,1.5
,Influenza and pneumonia,J09-J18,2013,2013,Maine,23.0,19,1328302.0,Unreliable,0.9,2.2,Unreliable,0.6,1.7
,Influenza and pneumonia,J09-J18,2013,2013,Maryland,24.0,72,5928814.0,1.2,1.0,1.5,1.1,0.9,1.4
,Influenza and pneumonia,J09-J18,2013,2013,Massachusetts,25.0,61,6692824.0,0.9,0.7,1.2,0.8,0.6,1.0
,Influenza and pneumonia,J09-J18,2013,2013,Michigan,26.0,100,9895622.0,1.0,0.8,1.2,0.9,0.7,1.1
,Influenza and pneumonia,J09-J18,2013,2013,Minnesota,27.0,55,5420380.0,1.0,0.8,1.3,0.9,0.7,1.2
,Influenza and pneumonia,J09-J18,2013,2013,Mississippi,28.0,43,2991207.0,1.4,1.0,1.9,1.3,0.9,1.8
,Influenza and pneumonia,J09-J18,2013,2013,Missouri,29.0,64,6044171.0,1.1,0.8,1.4,0.9,0.7,1.2
,Influenza and pneumonia,J09-J18,2013,2013,Montana,30.0,Suppressed,1015165.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2013,2013,Nebraska,31.0,19,1868516.0,Unreliable,0.6,1.6,Unreliable,0.5,1.4
,Influenza and pneumonia,J09-J18,2013,2013,Nevada,32.0,30,2790136.0,1.1,0.7,1.5,1.1,0.7,1.5
,Influenza and pneumonia,J09-J18,2013,2013,New Hampshire,33.0,12,1323459.0,Unreliable,0.5,1.6,Unreliable,0.4,1.4
,Influenza and pneumonia,J09-J18,2013,2013,New Jersey,34.0,92,8899339.0,1.0,0.8,1.3,0.9,0.7,1.1
,Influenza and pneumonia,J09-J18,2013,2013,New Mexico,35.0,19,2085287.0,Unreliable,0.5,1.4,Unreliable,0.5,1.3
,Influenza and pneumonia,J09-J18,2013,2013,New York,36.0,166,19651127.0,0.8,0.7,1.0,0.7,0.6,0.8
,Influenza and pneumonia,J09-J18,2013,2013,North Carolina,37.0,120,9848060.0,1.2,1.0,1.4,1.1,0.9,1.3
,Influenza and pneumonia,J09-J18,2013,2013,North Dakota,38.0,16,723393.0,Unreliable,1.3,3.6,Unreliable,1.0,2.9
,Influenza and pneumonia,J09-J18,2013,2013,Ohio,39.0,154,11570808.0,1.3,1.1,1.5,1.1,0.9,1.3
,Influenza and pneumonia,J09-J18,2013,2013,Oklahoma,40.0,49,3850568.0,1.3,0.9,1.7,1.2,0.9,1.5
,Influenza and pneumonia,J09-J18,2013,2013,Oregon,41.0,38,3930065.0,1.0,0.7,1.3,0.8,0.6,1.1
